name,SNR,STD,powerSNR,powerSTD,dxSNR,dxSTD,isReal
Ali_Tarkan_1,52.79650372772595,2.581225087546234,0.23219791517160548,0.0004187495974494997,-0.007777428615157255,0.25842940824305305,1
Ali_Tarkan_2,77.5531534565024,1.9431442709212141,0.23082763119245298,0.0006515509779123155,0.02985865256224668,0.2558244923933408,1
Ali_Tarkan_3,116.80178815037905,1.1363813046273703,0.17552013716312773,0.0022810372761580115,-0.013913437704825275,0.2258600923537018,1
Ali_Tarkan_4,227.2523923681647,0.6341313703757504,0.21303340102514357,0.008063122141294881,-0.003157501358858759,0.30388205336112867,1
Ali_Tarkan_5,115.32998608669901,1.078965303128469,0.25474456437709075,0.0006896944266858584,0.0068367206346202905,0.14815962837146518,1
Ali_Tarkan_7,199.65519317359252,0.6416864844356707,0.2510521967666888,0.002521395161075204,-0.022125744524154816,0.13900047054809303,1
Ali_Tarkan_8,166.1550762272941,0.789526806113428,0.19216119977429325,0.003057039500566028,0.012636598331990455,0.2015217966134799,1
Ali_Tarkan_9,125.45561048375295,1.0389412984768323,0.1389137600267515,0.0012008059590630446,0.021158362862457182,0.1619859754902433,1
Ali_Tarkan_10,224.95761042533783,0.5929518770881412,0.15561647766354236,0.0021228941096766082,0.012732507419706,0.18776032430836698,1
Merve_1,131.87707027325,1.193611425135669,0.2405782303168671,0.0007300392327501805,-0.006511925572990267,0.360755621525374,1
Merve_2,129.5419461131574,1.2255679937578972,0.2266569826157626,0.0008128507124028343,-0.012860874204586344,0.2961379649671297,1
Merve_3,50.318308625978226,2.5667974929884383,0.22538575970075184,0.00025437005545855617,0.026815112267914377,0.35444816687338293,1
Merve_4,271.0364349863731,0.5909440963263277,0.2290171429569763,0.0012203447623218863,0.0016679870598746993,0.2304166195392032,1
Merve_5,121.17240249300134,1.2220570452935733,0.23429832008776508,0.0012587069664615424,-0.010565472782642107,0.17860781434534906,1
Merve_6,129.5188978149717,1.2436806368069273,0.22318291157594436,0.0006758832194623135,0.010864183836151491,0.2505692458600153,1
Merve_7,135.89405393926364,1.0996445283618825,0.14683911680465514,0.0017140034460031005,0.013435310366491085,0.14992444118601217,1
Merve_8,65.8189519806583,2.1889134688113305,0.18685900643210426,0.0007906047002773806,0.02364071381681579,0.21662537617794814,1
Merve_9,146.76232722299892,1.0472987294630807,0.27336310517871,0.0005287182355241177,-0.002823015809641769,0.2661963823732993,1
Merve_10,83.79618388922569,1.5245844727446953,0.2099627798908069,0.0010605631881294817,-0.02203610327042641,0.34008681952655706,1
Mete_1,108.49946546653788,1.6688543826021331,0.2786155906180202,0.00025241735526283993,0.02146857144101172,0.23967503378516897,1
Mete_2,148.04173678102325,1.1564256402633175,0.26019363671049406,0.0011970038782534742,0.005268698770407926,0.3604870576869407,1
Mete_3,116.9875419641154,1.4729518582870027,0.24245919390242768,0.000841601193695175,0.017269841138781484,0.2711670428236461,1
Mete_4,132.1396355773276,1.0553316232385175,0.17460131418467276,0.0017374876807704236,-0.003725339599241708,0.20937431251355415,1
Mete_5,217.3791697280906,0.7976755111448631,0.18527580705358068,0.002083442690212703,0.0087149642048369,0.2703751342819888,1
Mete_6,124.97398785024075,1.6901352341184541,0.16966898461442415,0.0009826361462326849,0.007902022443297104,0.3030268979917868,1
Mete_7,171.12557501028638,1.3227151117286877,0.2451214306225413,0.0007383156630458833,-0.01344766281290252,0.3465441430258144,1
Mete_8,168.8821455335342,1.327095523263539,0.17798071317900704,0.0011838910101524297,-0.0292784555882962,0.27420969377898197,1
Mete_9,244.07718942534112,0.9092977353847604,0.19901709517057511,0.002853100847092971,-0.0026428277210184914,0.28964340553863654,1
Mete_10,216.12940935952096,1.0289646792219365,0.2601143427294109,0.0015271407672148754,-0.00502896463042024,0.30733146553459345,1
Nida_1,41.66293310523877,3.1376456564960895,0.20031264919233877,0.0005798181905787937,-0.03737846107348715,0.374727357483018,1
